portfolio_id,trade_date,portfolio_value
1,2015-01-02,47.408111572265625
1,2015-01-05,46.61878156661987
1,2015-01-06,45.79921627044678
1,2015-01-07,45.839043617248535
1,2015-01-08,46.89578628540039
1,2015-01-09,46.84196615219116
1,2015-01-12,46.1085262298584
1,2015-01-13,46.21275043487549
1,2015-01-14,46.00723457336426
1,2015-01-15,45.562005043029785
1,2015-01-16,46.15018081665039
1,2015-01-20,46.290152072906494
1,2015-01-21,45.62907838821411
1,2015-01-22,46.75440073013306
1,2015-01-23,46.93976354598999
1,2015-01-26,46.926414012908936
1,2015-01-27,45.15856695175171
1,2015-01-28,44.7550950050354
1,2015-01-29,45.74021816253662
1,2015-01-30,45.262441635131836
1,2015-02-02,45.66428518295288
1,2015-02-03,46.327072620391846
1,2015-02-04,46.117247104644775
1,2015-02-05,46.50038719177246
1,2015-02-06,46.46401596069336
1,2015-02-09,46.308409214019775
1,2015-02-10,47.03446960449219
1,2015-02-11,47.07932662963867
1,2015-02-12,47.45488977432251
1,2015-02-13,48.02170181274414
1,2015-02-17,48.0777850151062
1,2015-02-18,48.26752519607544
1,2015-02-19,48.547619342803955
1,2015-02-20,48.598082542419434
1,2015-02-23,48.65427303314209
1,2015-02-24,48.9431471824646
1,2015-02-25,48.51784324645996
1,2015-02-26,48.468323707580566
1,2015-02-27,48.51510143280029
1,2015-03-02,48.49175834655762
1,2015-03-03,48.49095821380615
1,2015-03-04,48.14606857299805
1,2015-03-05,48.33394956588745
1,2015-03-06,47.674723625183105
1,2015-03-09,48.17508792877197
1,2015-03-10,47.223580837249756
1,2015-03-11,46.88293170928955
1,2015-03-12,47.035133838653564
1,2015-03-13,46.39229106903076
1,2015-03-16,47.02804231643677
1,2015-03-17,47.11073589324951
1,2015-03-18,47.90986204147339
1,2015-03-19,47.79183769226074
1,2015-03-20,48.33277654647827
1,2015-03-23,48.65235185623169
1,2015-03-24,48.521475315093994
1,2015-03-25,47.29908084869385
1,2015-03-26,47.46288251876831
1,2015-03-27,47.24202585220337
1,2015-03-30,47.80984115600586
1,2015-03-31,47.252278327941895
1,2015-04-01,46.98406219482422
1,2015-04-02,47.05997085571289
1,2015-04-06,47.7051796913147
1,2015-04-07,47.633941650390625
1,2015-04-08,47.61032676696777
1,2015-04-09,47.74209928512573
1,2015-04-10,47.89459419250488
1,2015-04-13,47.80480241775513
1,2015-04-14,47.62929344177246
1,2015-04-15,48.096327781677246
